acc_no,lifecycle,train_test
AB626963,Non-chronic,1
AB971354,Non-chronic,0
AF059243,Non-chronic,0
AF176027,Non-chronic,0
AF176028,Non-chronic,0
AF176029,Non-chronic,1
AF176030,Non-chronic,0
AF176031,Non-chronic,0
AF176032,Non-chronic,1
AF176033,Non-chronic,0
AF176034,Non-chronic,0
AF227250,Non-chronic,0
AF274751,Non-chronic,0
AF299300,Non-chronic,1
AF299301,Non-chronic,0
AF299302,Non-chronic,0
AF299303,Non-chronic,0
AF299304,Non-chronic,0
AF299305,Non-chronic,0
AF299306,Non-chronic,1
AF299307,Non-chronic,1
AF299308,Non-chronic,0
AF299309,Non-chronic,0
AF299310,Non-chronic,0
AF299311,Non-chronic,1
AF299312,Non-chronic,0
AF299313,Non-chronic,0
AF299314,Non-chronic,1
AF323671,Non-chronic,0
AF454431,Non-chronic,1
AJ550635,Non-chronic,0
AY583234,Non-chronic,0
AY751298,Non-chronic,0
CP004084,Non-chronic,0
CP018841,Non-chronic,0
CP025713,Non-chronic,0
CP042877,Non-chronic,0
DQ079878,Non-chronic,0
DQ079880,Non-chronic,0
DQ079881,Non-chronic,0
DQ079882,Non-chronic,0
DQ079883,Non-chronic,0
DQ079884,Non-chronic,1
DQ079885,Non-chronic,0
DQ079886,Non-chronic,1
DQ079887,Non-chronic,0
DQ079888,Non-chronic,0
DQ079889,Non-chronic,1
DQ079890,Non-chronic,0
DQ079891,Non-chronic,0
DQ079892,Non-chronic,0
DQ079893,Non-chronic,0
DQ079894,Non-chronic,0
DQ079895,Non-chronic,0
DQ079896,Non-chronic,1
DQ079897,Non-chronic,0
DQ079898,Non-chronic,0
DQ079899,Non-chronic,0
DQ079900,Non-chronic,0
DQ079901,Non-chronic,0
DQ079902,Non-chronic,1
DQ079903,Non-chronic,0
DQ079904,Non-chronic,1
DQ079905,Non-chronic,0
DQ079906,Non-chronic,1
DQ079907,Non-chronic,0
DQ079909,Non-chronic,0
DQ085810,Non-chronic,0
EF108464,Non-chronic,0
EF108465,Non-chronic,0
EF204939,Non-chronic,1
EF204940,Non-chronic,1
EF380009,Non-chronic,0
EF380010,Non-chronic,0
EF380011,Non-chronic,0
EF380012,Non-chronic,0
EF380013,Non-chronic,0
EF380014,Non-chronic,1
EF380015,Non-chronic,1
EF380016,Non-chronic,1
EF380017,Non-chronic,0
EF380018,Non-chronic,0
EF380019,Non-chronic,0
EF380020,Non-chronic,0
EF380021,Non-chronic,1
EF380022,Non-chronic,0
EF380023,Non-chronic,0
EF380024,Non-chronic,0
EF380025,Non-chronic,1
EF380026,Non-chronic,0
EF380027,Non-chronic,1
EF380028,Non-chronic,1
EF380029,Non-chronic,0
EF380030,Non-chronic,0
EF380031,Non-chronic,0
EF380032,Non-chronic,0
FJ483837,Non-chronic,0
FJ483838,Non-chronic,0
FJ483839,Non-chronic,1
FJ483840,Non-chronic,1
FJ483841,Non-chronic,0
FJ483842,Non-chronic,0
FJ483843,Non-chronic,0
FJ483844,Non-chronic,0
FJ539132,Non-chronic,1
FJ539133,Non-chronic,0
FJ539134,Non-chronic,0
FJ539135,Non-chronic,1
FJ849058,Non-chronic,1
GQ153912,Non-chronic,1
GQ153913,Non-chronic,0
GQ153914,Non-chronic,1
GQ153915,Non-chronic,0
GQ153920,Non-chronic,0
GQ153921,Non-chronic,0
GQ153922,Non-chronic,0
GQ153923,Non-chronic,1
GU385905,Non-chronic,0
HM753658,Non-chronic,1
HM753659,Non-chronic,0
HM753661,Non-chronic,1
HM753662,Non-chronic,0
HM753663,Non-chronic,0
HM753664,Non-chronic,0
HM753665,Non-chronic,0
HM753666,Non-chronic,0
HM753667,Non-chronic,0
HM753668,Non-chronic,0
HM753669,Non-chronic,1
HM753670,Non-chronic,0
HM753671,Non-chronic,0
HM753672,Non-chronic,0
HM753675,Non-chronic,0
