acc_no,strandedness
AB334720,ssDNA(+)
AB334721,ssDNA(+)
AB362338,dsDNA
AB426868,dsDNA
AB572858,ssDNA(+)
AB626963,dsDNA
AB746912,dsDNA
AB757801,dsDNA
AB910392,dsDNA
AB910602,ssDNA(+)
AB931172,ssDNA(+)
AB971354,ssRNA(+)
AB981170,ssDNA(+)
AF059243,ssRNA(+)
AF176027,ssDNA(+)
AF176028,ssDNA(+)
AF176029,ssDNA(+)
AF176030,ssDNA(+)
AF176031,ssDNA(+)
AF176032,ssDNA(+)
AF176033,ssDNA(+)
AF176034,ssDNA(+)
AF217253,dsDNA
AF227250,ssRNA(+)
AF234173,dsDNA
AF274751,ssDNA(+)
AF299300,ssDNA(+)
AF299301,ssDNA(+)
AF299302,ssDNA(+)
AF299303,ssDNA(+)
AF299304,ssDNA(+)
AF299305,ssDNA(+)
AF299306,ssDNA(+)
AF299307,ssDNA(+)
AF299308,ssDNA(+)
AF299309,ssDNA(+)
AF299310,ssDNA(+)
AF299311,ssDNA(+)
AF299312,ssDNA(+)
AF299313,ssDNA(+)
AF299314,ssDNA(+)
AF323668,dsDNA
AF323669,dsDNA
AF323670,dsDNA
AF323671,dsDNA
AF323672,dsDNA
AF323673,dsDNA
AF424782,dsDNA
AF424783,dsDNA
AF452449,ssDNA(+)
AF454431,ssDNA(+)
AF527608,dsDNA
AJ131519,dsDNA
AJ536073,dsDNA
AJ550635,ssDNA(+)
AJ609634,dsDNA
AJ748296,dsDNA
AJ969242,ssDNA(+)
AP004402,dsDNA
AP011616,dsDNA
AP012529,dsDNA
AP012530,dsDNA
AP012531,dsDNA
AP012533,dsDNA
AP012534,dsDNA
AP012536,dsDNA
AP012538,dsDNA
AP014715,dsDNA
AP014858,dsDNA
AP014887,dsDNA
AP014888,dsDNA
AP017903,dsDNA
AP017925,dsDNA
AP018375,dsDNA
AP018399,dsDNA
AP018462,dsDNA
AP018463,dsDNA
AP018469,dsDNA
AP018470,dsDNA
AP018471,dsDNA
AP018476,dsDNA
AP018478,dsDNA
AP018479,dsDNA
AP018480,dsDNA
AP018485,dsDNA
AP018487,dsDNA
AP018714,dsDNA
AP018715,dsDNA
AP018813,dsDNA
AP018814,dsDNA
AP018932,dsDNA
AP019415,dsDNA
AP019417,dsDNA
AP019522,dsDNA
AP019525,dsDNA
AP019560,dsDNA
AP019561,dsDNA
AP019562,dsDNA
AY176327,dsDNA
AY264774,dsDNA
AY264775,dsDNA
AY264776,dsDNA
AY264777,dsDNA
AY264778,dsDNA
AY441783,dsDNA
AY526908,dsDNA
AY526909,dsDNA
AY583234,unknown
AY583235,unknown
AY587007,dsDNA
AY657002,dsDNA
AY692264,dsDNA
AY751298,ssDNA(+)
AY766464,dsDNA
AY848684,dsDNA
AY848685,dsDNA
AY848687,dsDNA
AY848688,dsDNA
BK010646,dsDNA
BK013337,dsDNA
BK013338,dsDNA
CP000711,dsDNA
CP004084,ssDNA(+)
CP008753,dsDNA
CP011103,dsDNA
CP011970,dsDNA
CP013282,dsDNA
CP013974,dsDNA
CP017895,ssDNA(+)
CP017905,ssDNA(+)
CP017906,ssDNA(+)
CP018841,dsDNA
CP019719,dsDNA
CP025712,dsDNA
CP025713,dsDNA
CP025887,unknown
CP025902,dsDNA
CP025907,unknown
CP027117,dsDNA
CP029253,dsDNA
CP038007,dsDNA
CP042877,dsDNA
CP051272,dsDNA
CP051275,dsDNA
CP051278,dsDNA
CP051279,dsDNA
CP051285,dsDNA
CP051288,dsDNA
CP053388,dsDNA
CP054387,dsDNA
CP058330,unknown
CP058906,unknown
CP059058,dsDNA
CP062992,dsDNA
CP063964,unknown
CP063968,unknown
CP069347,unknown
CP069348,dsDNA
CP071049,dsDNA
DQ079878,ssDNA(+)
DQ079880,ssDNA(+)
DQ079881,ssDNA(+)
DQ079882,ssDNA(+)
DQ079883,ssDNA(+)
DQ079884,ssDNA(+)
DQ079885,ssDNA(+)
DQ079886,ssDNA(+)
DQ079887,ssDNA(+)
DQ079888,ssDNA(+)
DQ079889,ssDNA(+)
DQ079890,ssDNA(+)
DQ079891,ssDNA(+)
DQ079892,ssDNA(+)
DQ079893,ssDNA(+)
DQ079894,ssDNA(+)
DQ079895,ssDNA(+)
DQ079896,ssDNA(+)
DQ079897,ssDNA(+)
DQ079898,ssDNA(+)
DQ079899,ssDNA(+)
DQ079900,ssDNA(+)
DQ079901,ssDNA(+)
DQ079902,ssDNA(+)
DQ079903,ssDNA(+)
DQ079904,ssDNA(+)
DQ079905,ssDNA(+)
DQ079906,ssDNA(+)
DQ079907,ssDNA(+)
DQ079909,ssDNA(+)
DQ085810,ssDNA(+)
DQ087285,dsDNA
DQ113772,dsDNA
DQ222851,dsDNA
DQ222855,dsDNA
DQ289556,dsDNA
DQ394806,dsDNA
DQ394807,dsDNA
DQ394808,dsDNA
DQ394809,dsDNA
DQ394810,dsDNA
DQ426905,dsDNA
DQ785801,dsDNA
DQ838728,dsDNA
EF108464,ssRNA(+)
EF108465,ssRNA(+)
EF204939,ssRNA(+)
EF204940,ssRNA(+)
EF380009,ssDNA(+)
EF380010,ssDNA(+)
EF380011,ssDNA(+)
EF380012,ssDNA(+)
EF380013,ssDNA(+)
EF380014,ssDNA(+)
EF380015,ssDNA(+)
EF380016,ssDNA(+)
EF380017,ssDNA(+)
EF380018,ssDNA(+)
EF380019,ssDNA(+)
EF380020,ssDNA(+)
EF380021,ssDNA(+)
EF380022,ssDNA(+)
EF380023,ssDNA(+)
EF380024,ssDNA(+)
EF380025,ssDNA(+)
EF380026,ssDNA(+)
EF380027,ssDNA(+)
EF380028,ssDNA(+)
EF380029,ssDNA(+)
EF380030,ssDNA(+)
EF380031,ssDNA(+)
EF380032,ssDNA(+)
EU568876,dsDNA
EU676000,dsDNA
FJ168660,dsDNA
FJ174694,dsDNA
FJ184280,dsDNA
FJ188381,dsDNA
FJ483837,ssRNA(+)
FJ483838,ssRNA(+)
FJ483839,ssRNA(+)
FJ483840,ssRNA(+)
FJ483841,ssRNA(+)
FJ483842,ssRNA(+)
FJ483843,ssRNA(+)
FJ483844,ssRNA(+)
FJ539132,ssRNA(+)
FJ539133,ssRNA(+)
FJ539134,ssRNA(+)
FJ539135,ssRNA(+)
FJ849058,ssDNA(+)
FN436268,dsDNA
FN436269,dsDNA
FN997652,dsDNA
FQ482084,dsDNA
FR725450,unknown
GQ141189,dsDNA
GQ153912,ssDNA(+)
GQ153913,ssDNA(+)
GQ153914,ssDNA(+)
GQ153915,ssDNA(+)
GQ153916,ssDNA(+)
GQ153917,ssDNA(+)
GQ153918,ssDNA(+)
GQ153919,ssDNA(+)
GQ153920,ssDNA(+)
GQ153921,ssDNA(+)
GQ153922,ssDNA(+)
GQ153923,ssDNA(+)
GQ303261,dsDNA
GQ303262,dsDNA
GQ303264,dsDNA
GQ478082,dsDNA
GQ478083,dsDNA
GQ478085,dsDNA
GQ478087,dsDNA
GQ919031,dsDNA
GU071091,dsDNA
GU071092,dsDNA
GU097882,unknown
GU196281,dsDNA
GU247133,dsDNA
GU247134,dsDNA
GU385905,ssDNA(+)
HE858210,dsDNA
HE981739,dsDNA
HE983844,dsDNA
HF569088,dsDNA
HF569089,dsDNA
HF569090,dsDNA
HF569091,dsDNA
HF569092,dsDNA
HG428758,dsDNA
HG792102,dsDNA
HG792103,dsDNA
HG792104,dsDNA
HG792105,dsDNA
HG796219,dsDNA
HG796220,dsDNA
HG796221,dsDNA
HG803185,dsDNA
HM137666,dsDNA
HM152765,dsDNA
HM152766,dsDNA
HM753658,ssDNA(+)
HM753659,ssDNA(+)
HM753661,ssDNA(+)
HM753662,ssDNA(+)
HM753663,ssDNA(+)
HM753664,ssDNA(+)
HM753665,ssDNA(+)
HM753666,ssDNA(+)
HM753667,ssDNA(+)
HM753668,ssDNA(+)
HM753669,ssDNA(+)
HM753670,ssDNA(+)
HM753671,ssDNA(+)
HM753672,ssDNA(+)
HM753674,ssDNA(+)
HM753675,ssDNA(+)
HM753676,ssDNA(+)
HM753677,ssDNA(+)
HM753678,ssDNA(+)
HM753679,ssDNA(+)
HM753680,ssDNA(+)
HM753681,ssDNA(+)
HM753682,ssDNA(+)
HM753683,ssDNA(+)
HM753684,ssDNA(+)
HM753685,ssDNA(+)
HM753686,ssDNA(+)
HM753687,ssDNA(+)
HM753688,ssDNA(+)
HM753689,ssDNA(+)
HM753690,ssDNA(+)
HM753691,ssDNA(+)
HM753692,ssDNA(+)
HM753693,ssDNA(+)
HM753694,ssDNA(+)
HM753695,ssDNA(+)
HM753697,ssDNA(+)
HM753698,ssDNA(+)
HM753699,ssDNA(+)
HM753701,ssDNA(+)
HM753702,ssDNA(+)
HM753703,ssDNA(+)
HM753704,ssDNA(+)
HM753705,ssDNA(+)
HM753706,ssDNA(+)
HM753711,ssDNA(+)
HM753712,ssDNA(+)
HM753715,ssDNA(+)
HM753716,ssDNA(+)
HM753717,ssDNA(+)
HM753718,ssDNA(+)
HM775306,ssDNA(+)
HM775307,ssDNA(+)
HM775308,ssDNA(+)
HM775309,ssDNA(+)
HM775310,ssDNA(+)
HM775311,ssDNA(+)
HQ127381,dsDNA
HQ317290,dsDNA
HQ317291,dsDNA
HQ317385,dsDNA
HQ634152,dsDNA
HQ641341,dsDNA
HQ641343,dsDNA
HQ641344,dsDNA
HQ641346,dsDNA
HQ641348,dsDNA
HQ641349,dsDNA
HQ641350,dsDNA
HQ641351,dsDNA
HQ641352,dsDNA
HQ641353,dsDNA
HQ641354,dsDNA
HQ906662,dsDNA
HQ906663,dsDNA
HQ906664,dsDNA
J02448,ssDNA(+)
JF314845,dsDNA
JF461087,dsDNA
JF704091,dsDNA
JF704095,dsDNA
JF704096,dsDNA
JF704099,dsDNA
JF704109,dsDNA
JF704113,dsDNA
JF704114,dsDNA
JF704116,dsDNA
JF713456,dsDNA
JF719726,ssDNA(+)
JF719727,ssDNA(+)
JF719728,ssDNA(+)
JF719729,ssDNA(+)
JF719730,ssDNA(+)
JF719731,ssDNA(+)
JF719732,ssDNA(+)
JF719733,ssDNA(+)
JF719734,ssDNA(+)
JF767210,dsDNA
JF773396,dsDNA
JF792674,dsDNA
JF937092,dsDNA
JF937095,dsDNA
JF937096,dsDNA
JF937097,dsDNA
JF937107,dsDNA
JF937109,dsDNA
JF957056,dsDNA
JF974289,dsDNA
JN006062,dsDNA
JN006063,dsDNA
JN083853,dsDNA
JN175269,dsDNA
JN243856,dsDNA
JN254801,dsDNA
JN255163,dsDNA
JN391441,dsDNA
JN561150,dsDNA
JN600672,dsDNA
JN600960,dsDNA
JN618996,dsDNA
JN638752,dsDNA
JN638753,dsDNA
JN698990,dsDNA
JN698991,dsDNA
JN699002,dsDNA
JN699004,dsDNA
JN699009,dsDNA
JN699010,dsDNA
JN699013,dsDNA
JN699014,dsDNA
JN699018,dsDNA
JN699625,dsDNA
JN811560,dsDNA
JN849462,dsDNA
JQ067083,dsDNA
JQ067085,dsDNA
JQ691610,dsDNA
JQ740790,dsDNA
JQ740791,dsDNA
JQ740792,dsDNA
JQ740793,dsDNA
JQ740794,dsDNA
JQ740795,dsDNA
JQ740796,dsDNA
JQ740797,dsDNA
JQ740798,dsDNA
JQ740799,dsDNA
JQ740800,dsDNA
JQ740801,dsDNA
JQ740802,dsDNA
JQ740803,dsDNA
JQ740805,dsDNA
JQ740806,dsDNA
JQ740807,dsDNA
JQ740808,dsDNA
JQ740809,dsDNA
JQ740810,dsDNA
JQ740811,dsDNA
JQ740812,dsDNA
JQ740814,dsDNA
JQ764986,ssDNA(+)
JQ764987,ssDNA(+)
JQ764988,ssDNA(+)
JQ764989,ssDNA(+)
JQ764990,ssDNA(+)
JQ780163,dsDNA
JQ809701,dsDNA
JQ911768,dsDNA
JQ957925,dsDNA
JQ965701,dsDNA
JQ965702,dsDNA
JQ966307,ssRNA(+)
JX000007,dsDNA
JX006077,dsDNA
JX042578,dsDNA
JX163858,dsDNA
JX174275,dsDNA
JX274646,dsDNA
JX274647,dsDNA
JX307703,dsDNA
JX403939,dsDNA
JX409894,dsDNA
JX409895,dsDNA
JX412914,ssDNA(+)
JX483875,dsDNA
JX483877,dsDNA
JX507079,dsDNA
JX570703,dsDNA
JX570707,dsDNA
JX570708,dsDNA
JX570711,dsDNA
JX649096,dsDNA
JX649097,dsDNA
JX649098,dsDNA
JX649099,dsDNA
JX649100,dsDNA
JX681814,dsDNA
KC109329,dsDNA
KC131022,ssDNA(+)
KC131023,ssDNA(+)
KC131024,ssDNA(+)
KC131025,ssDNA(+)
KC139514,dsDNA
KC139515,dsDNA
KC182543,dsDNA
KC182548,dsDNA
KC237308,ssDNA(+)
KC330681,dsDNA
KC348598,dsDNA
KC348599,dsDNA
KC348600,dsDNA
KC348601,dsDNA
KC348602,dsDNA
KC348603,dsDNA
KC348604,dsDNA
KC413987,dsDNA
KC413988,dsDNA
KC542353,dsDNA
KC556893,dsDNA
KC556894,dsDNA
KC556895,dsDNA
KC556897,dsDNA
KC556898,dsDNA
KC581799,dsDNA
KC595511,dsDNA
KC595516,dsDNA
KC661271,dsDNA
KC661272,dsDNA
KC661274,dsDNA
KC661276,dsDNA
KC691254,dsDNA
KC787107,dsDNA
KC787108,dsDNA
KC821604,dsDNA
KC821610,dsDNA
KC821612,dsDNA
KC821615,dsDNA
KC821616,dsDNA
KC821621,dsDNA
KC821625,dsDNA
