acc_no,hash,lifecycle,length,gc,train_testdf_train_onhold
AF176034,3fb1278c0d3a9cd51e68e460167789c80353fde652e7c20512a2b82053c49d04,Non-chronic,5386,44.70850352766431,0
MH572304,c638afec4ee011df29c03d950efcda6565dd27e8650aeb6cee6baf17a354368d,Non-chronic,4518,41.943337760070825,0
MH779526,9e8fadbcc80c67294607874300855bf46787517c4df2cf7f732ca95c1a57e715,Non-chronic,21915,36.002737850787135,0
MK448330,76fabec36c92b77ccc7cf606a01e24d0be79069fb373cc78c0d9bfa669e4718b,Non-chronic,12210,36.24897624897625,0
HM753670,d05ea39dcdd4403548bfb5811a8a9087888aae209b70aacf5600d38969d451cf,Non-chronic,5386,44.745636836242106,0
NC_055016,bb566d2b66aa8a5e6de120f9015a79f43bd10b4032d4422a40f1b2fba76377c7,Non-chronic,21006,36.14205465105208,0
MK629526,c14da90635336402b6fd9100562b5c4cfe6f0f67ee63a2c8cceee8f8a7058511,Non-chronic,5342,46.92998876825159,0
MH572504,cefb28f0756856efe57540fb87631d460eb2df08b8f27cdc0c4fdbd0e55af730,Non-chronic,4093,44.490593696555095,0
DQ785293,d7cfeb815575900ba08a4a656b0c16e030378359b27d4883710183cd30bae700,Non-chronic,6374,55.53812362723564,0
MH572274,4cee8a8ba04dbdf9898cea97610cec1690fd256f27817ef9a0ec25ba4df0f269,Non-chronic,4780,45.2510460251046,0
EF204939,2de4ccb74ed8c604fd20ebaf780a04629a480da1b7b62dc0d3aedb6dc41e1d3f,Non-chronic,3569,51.41496217427851,0
,0532937332e4e47a2df3e1776f4a8e27052550a48663b9f70ed2baa353626b2b,Chronic,4101,41.30699829309924,0
MH576950,c1a79de43e9aa202303e00add0f9a56d4982a636c067305c1973f36467530cc5,Non-chronic,15556,60.118282334790436,0
MK249161,7dc3b558bf629514383fecb7716f83c6aecc24de94f5ebdbfed307ba9b20c628,Non-chronic,4765,50.073452256033576,0
DQ785288,37bc6e4e1f279a234c946e881a5a558f8c11eea0cae1ba6719f4c677104de1da,Non-chronic,2949,55.06951508986097,0
MT495635,011201993aa58af6b46aa721bbff456632d5eea505900d3968581716fbc4952d,Chronic,7540,61.710875331564985,0
MN335165,aaaaf302039f8e46f0348b1e7fc87a835552caa37f661d882269750e1b20e069,Non-chronic,4768,33.850671140939596,0
MK448437,34fa1d1650a19bb9b9a17143d98f5615d7c45d7c268aeddc5951944cea47989f,Non-chronic,12235,37.989374744585206,0
KP087939,a9e93504b0d27e4364179e75b8eba9a82e6605dffd1920a6a5cb25f755868529,Non-chronic,4265,46.84642438452521,0
MH572503,f17a904167709856ba451b2e6776c5c52a341b75d5f8a155463c6921ffc08fd7,Non-chronic,4449,31.71499213306361,0
KX513874,1751b2934b626da3ac099083e84aa85fbd7ba5f6fc994a927bb4f489d6479ebd,Non-chronic,4997,40.844506704022415,0
NC_052936,e0090b58fdeae5df8ad4871afaf1b2bb53c5ac10332461e6720864fbc85f9013,Non-chronic,17049,68.98938354155669,0
,209aebe7063702b9041e2d01dd69285e1099927edb89ee310471ea9939e59014,Chronic,4102,40.98000975134081,0
MK448493,f2bc47575abdcf444a93be3769cbeec2ee8fac971e113a64cc8088a70b923a69,Non-chronic,9035,37.12230215827338,0
,9d4c9284a40870ebe361aa95d6ef6b29be86b6915aa5cd574c0b40284c36dc92,Chronic,3707,42.13649851632047,0
MH572462,53928722ef642cdfb54f72b426a979e72812fb076baffca23cb2debfae4fe9aa,Non-chronic,4370,38.924485125858126,0
MK249155,7c505dee5ad82b3d9c7bf28f90e12885490c5739fcad1826497e39c0e66a1a6c,Non-chronic,4637,53.8710373086047,0
MK765566,4b1958a5ce5c02482c185e9f7ca5d63d3392f71710ba1cfe379e104b343b7e1b,Non-chronic,5764,39.33032616238723,0
MK448438,ea4a303c4a41882ad0a917a3fd27a7903bef06d2394f983814f7817f45d965f5,Non-chronic,12473,33.696785055720355,0
MW321655,09a1f1804672e035bc9b54d174d75d3cea20ac471fde6c16da89025cd2881a75,Non-chronic,16915,68.80283771800177,0
MK448561,9cca6a0657f5599f80dc3847f2301464a843ce6368feebedb5fd1f6c8ec1c303,Non-chronic,9150,34.797814207650276,0
KJ617393,7d68ebd677454e17061728b0381a8d9444778a42f4c10aa6083a7a77e9154102,Non-chronic,19347,38.822556468703155,0
MK249192,fcd918f73b9b8b144c5be63623eef5dd7fdd99ee5d10645170ab3dd7d752ea33,Non-chronic,4581,49.87993887797424,0
,aa0cea502b039feba4ab341d9c9e55c3bf321228bcbf2d2bdde701af2ad84137,Chronic,4782,43.9146800501882,0
MH992159,e4fe66d080fc0c17af84f31b37fde7d0bcac647abfd5f3dc7d3671e7a994dc93,Non-chronic,4661,64.64278051920189,0
NC_030458,953e687628b03c49cf31b1c592d319a749b4b22a7e96ba053fa30934275155e4,Non-chronic,5016,45.354864433811805,0
,ce4d0eff911095146015f57eb2fae88347e963742727b63cc694229ce3c4ab23,Chronic,4032,36.95436507936508,0
MN379648,b90eb42be7b58f20c0765e740a6daaace2e13ba70f5d981a7dd72d9d76557ae0,Non-chronic,6328,39.87041719342604,0
MH572506,32355ded8db805c227a68074d4aa408a2aa046ceb2fc0a9664fc5250c47a457a,Non-chronic,4115,33.80315917375456,0
AF299303,2283d967f7a8979c48ddfa2bc9d90d7bc9112ba2466e221c03f6684421b94b07,Non-chronic,5339,44.69001685708934,0
KT783672,c5daf2c19061fac63fc34cbd784f7e90cfaea477819a5341e76e6a3f5d0d0ffd,Non-chronic,15556,60.111853947030085,0
NC_019453,782b039bc63af2697f41a6c84955c9f15cf5ea3bd1ab2f033b06cf7dc72b4e49,Non-chronic,3762,50.53163211057948,0
MK249221,5e3646012d8c585a7b1acde226a53d4011ed16588f72ff4e1b234535f0b5ae11,Non-chronic,4422,51.28900949796472,0
MK249151,df52401c5f186dbd2cd8b3fa336bbdf69fd517f885e6e2a1f917217c3bd10629,Non-chronic,4521,52.200840522008406,0
KX119183,e1a4bd8d049a380d7299d9f4ebba9496bab5cad7061f4dea4ad4cc4c84e5abfb,Non-chronic,12309,36.17678121699569,0
MK249134,bc8733b2a16ef8073eb47b22475e0aff872e2fbf4cf39c1230c86aad73a9655d,Non-chronic,4483,57.41690832032121,0
MK496772,bbc4662924f8ea8b729dbf8ddf4a7d468286fb712a19065cb6793c64a8d4ede6,Non-chronic,5694,32.33227959255357,0
EF380023,0c69b21bc1e88432e83571aa864bb0a24b5e4f5b5dce860ba18ea5928ab2b280,Non-chronic,5386,43.92870404753064,0
MT024867,f9a24fff49c6b6d255daff35413a0df1eeee01a4e4c5e5ea3596b4de79ade235,Non-chronic,16302,64.29272481904061,0
MH572418,2d0bf58ba04249231d873cbfb3888f58712a4596f58c6ee9c78585eba6e30c4c,Non-chronic,4661,47.479081742115426,0
NC_004679,4ce67e3d7b0d060d0e9e4ef06001361ed6ee5b29a94f2a4b3cea979f93ed55b4,Non-chronic,18227,29.324628298677787,0
MK448583,e537323fa04a86c44130056222fb044a1f24830b6ee63d52cafe556470ea777d,Non-chronic,12522,33.30937549912154,0
NC_042071,ae5e43c3d2c6ada159d7831d5551d91c18ec163ec767eb7817220b8bd85e2fb7,Non-chronic,6648,59.34115523465704,0
MK448363,f69dee5d5d13167c00f7b402ce65a486f72694c88308be1bb951680652771605,Non-chronic,13799,36.502645119211536,0
NC_016651,8cc2272c9489102f540da07a363176de81ba29044499cc343cd12910082c9d7d,Non-chronic,14270,68.3812193412754,0
MH572500,88a982a9bd2cc09f7b3358252b685ceba7aecb559f9f980f60ff0bce849a7437,Non-chronic,4361,37.766567301077735,0
,0237b48d3b7aa935fa80d0a2ea1f328769999f88954893c40accfeeb2f1028cb,Chronic,3997,31.198398799099323,0
MK765597,28744672a5e6428fb489a4fc8e2fc801827abc5b9f2f8e992dcc2fe7b0580a32,Non-chronic,5764,39.39972241498959,0
HM753678,8657082958028e1d34c057a9f9095372bf3e7b3e6a7bf7c51cba8fc3674d060f,Non-chronic,5386,44.8384701076866,0
EF380021,8b49a9364d31f54a819699e2ae66a69e130d46814012450801e4d4affbcc9d33,Non-chronic,5386,44.35573709617527,0
MH572526,70b5f3a39398e78aa7c22f31c1a05e22aae619db2b2f397f3f34cda3eb7eb085,Non-chronic,5502,36.168665939658304,0
NC_002670,f4afeeb955ba204a10390d20b0ee76e707bac4c1a5f9a56d53382553455bcda1,Non-chronic,14510,34.23845623707788,0
,c4d22fe0b80fad588310478f62980c387974c71606c99d55bbcbb4d0ad218d31,Chronic,7387,35.22404223636118,0
,ea967535567ca466ab7de69dd715044ead50c11616e54c20fa87c4b889a12901,Chronic,5001,43.09138172365527,0
MK765584,3d0e1e8990f9bb5769d67535bd3db9d58bda928b47a12a40ed3eb3fbad01344f,Non-chronic,4250,49.71764705882353,0
,288752a71b94c5333cd865f7f64b4046158f7eb6b88df1f0a372b7bce4b1b723,Chronic,5283,38.746924096157485,0
