acc_no,hash,length,gc,strandedness,moltype,is_refseq
OV696622,31f5e49439e7d5843341213cc27ac87f4346f52ef5f7828feed6ce4409d2d764,40167,55.55,double,DNA,False
LC547238,b834d2b2d299f4d4b6faa9d53ec07537d9e512e3a25db313648a227ac4bb9cb9,56582,40.02,double,DNA,False
NC_034627,615329198b8427b4264f2db033cb9475f42a004469c1fadfa06c2be156978c34,35439,25.54,double,DNA,True
NC_042133,a36e55e1278ebf85b581299c2d0ca624833076bd3399227cf400e5d18e9045ea,146698,39.02,double,DNA,True
NC_042066,0bda8415e9e3ec9e64e58eb7d99e53d3f8b060a82913b1045bd31b43babd4d67,51092,42.87,double,DNA,True
NC_054936,42ce4bed02c3575faabc02fa9f4f5d2a91b33510c38f55d95845ef0e9ca94b48,169805,35.28,double,DNA,True
OM638104,f0063a671df5d805cdc9c8fe773bee021880b70191c0723efc04c5319daa0b82,18554,30.56,double,DNA,False
OM654375,3f529921c61c0bf00c6696c75ead1ab6fdf93618c26f5e0dd2fc341b4c5b03b9,43647,55.50,double,DNA,False
MW794142,f3c0bff9b07b396a354a18b9474b2335d8a6d9c6597b4f4bd0d11a64e0970b4e,130474,36.97,double,DNA,False
OK148439,7b651ea72cca1b41840b58940e37b9a01836e6d4d7d1c5101f3b247477c14803,51940,44.09,double,DNA,False
MW168838,c4e3417082df6feec7e085942eab9712f7d1da44d3e8ffa27b70f4d969242451,39363,37.64,double,DNA,False
OM650250,0dce3e938102c9657ece7eba9b67c31115d9e7ca32a0db36fe705aa77089c06e,2443,56.12,single,RNA,False
OK349506,e57bf4b12828bad2cf9e35bd7bbe084232c6b0fba9971ddfda3c430336719b05,42854,49.11,double,DNA,False
OL870318,7a463dcb4c6ec47bf16bf3113e4c0a3ef1f9dc14ee90d6ec5861d5d001907c9b,170051,39.40,double,DNA,False
OM046621,e77af8ecfda46d4531c4b6ab8f1d4c9427b12d674c30d762c3c722979ce64e69,43849,47.02,double,DNA,False
OM457002,69e93a3a91a82b9b925a8054b8ba3daee2edcbc8dbc391bdc5d92bebbf6ddb1d,39940,52.08,double,DNA,False
OM522317,68cc443b896c7fb349c9daca73787dcc0da7db5dac1cccc2ede1dd9681a7e68f,84251,43.45,double,DNA,False
OM782452,ea690b401e16d14528ff59a2f0d5cb8275c3a7383a757cb14544f2ec35a49930,74200,53.47,double,DNA,False
MH196515,1c238e75d325b58c92df11054897c82890a94c5751030562ac1ce57892d6b041,1182,59.90,double,DNA,False
LT993225,54703ed36bef2209f0db8738858420788755dd7ce704439d48f5eda9632bdd66,16305,36.98,double,DNA,False
KX077892,711542c5943e534d479d2a6af3f96a7ef9ff22c838899836c1877649a2298f63,14113,41.03,double,DNA,False
MK448352,f9a3c2db71d3a01cac9a44b5cf6b86eaa50623ee6e4df1aa10bb6266a6a552a2,13726,36.59,double,DNA,False
MK448333,0fab70dab66b8e76e0afcb72b303e1506d85d32944fbf520562ab53324315676,12210,36.26,double,DNA,False
MK448331,f6b3ca2a61918665a75bf367c8a48b9e607ba90a7e30707b580a54f958886a72,11974,36.32,double,DNA,False
MK448330,76fabec36c92b77ccc7cf606a01e24d0be79069fb373cc78c0d9bfa669e4718b,12210,36.25,double,DNA,False
MT939242,3da015bc7ff27c730a428bbf51b149d5b5015255589ae4d5f676006a1eb51d20,44108,35.82,double,DNA,False
MT074139,505912909fc594f278cf4bce0fec1a3227f127c07e76a34b8a1ff939d366b08c,178921,23.73,double,DNA,False
MW629017,f9544b098d1df9cab49abacb76881467e139f30314634c13de0897821f189e0b,178248,44.76,double,DNA,False
NC_029067,0178b839c8e3713226bf5abf6f565d1e04360a2f98fab320b3e8b258729bf094,138234,37.95,double,DNA,True
NC_020158,82e912ef75263cd44581b519410026553d74080aa42c6c8f86af0406c31c7697,102319,58.27,double,DNA,True
AY583234,1a372e653040b211375b2829a54189e23e0105972e4415b33f40377062b7ed58,15757,25.00,double,DNA,False
NC_001942,fab71c97636ce54854b8a2b43e3b7afa1b4a470c9fd962c21d8a78590d8fd91f,15644,29.03,double,DNA,True
OK149171,15950c6842d8f384dd5e5fe4bf04ed7c7adfeb50ca45588f59497ba6060e4126,70466,41.12,double,DNA,False
NC_023503,40eaacb7d11a93b4c38a1e925ae74a3ce155e5eca369b7feef5b115e684e382a,48800,39.98,double,DNA,True
NC_002666,7649004b7b884f09630ee0808efc06a796c966ede6dfa59f6e17e067ec57c66f,35538,35.19,double,DNA,True
NC_062748,f7c92c32643afec7ea0eb7a43110d1f8f45c2cfbf4cf8899ed8c7b1334896f3b,43175,32.00,double,DNA,True
NC_004820,b91c73ad91d7516254ab673106874a730ebbb0864b51bfbebe7f84ea36c944c5,61395,37.69,double,DNA,True
MK448626,eb1c58039192c66d0ac4c7f4baafa56739513a7b933dd6853539d4ce1e68e85a,12501,37.73,double,DNA,False
MK448616,15ea8593c30d5a29a0be0f2ed636f6782dc1867a4e294e502b556f2fbc9a1277,14823,38.65,double,DNA,False
MK448613,67d67d8c0f200d8653d49b8766ba5b63b2cfc866d98d18beddf40b81c190b7e9,13107,36.51,double,DNA,False
MK448580,2162bfb4acd5035e772c9143fddca2ee436bdc80ae4ef04d27fc02f8ef25d53b,12025,39.88,double,DNA,False
MK448567,d272c130ef74b65b216ea2254401f9b861e3bd180c5a064b39612e3afe7b5393,7858,37.41,double,DNA,False
MK448562,24a234d39809401bb8560c9e2ce4887c5965012a019bfe11b5d0aa0f89b49feb,7682,37.45,double,DNA,False
MK448531,9fc986ea8ef03398f7a32d7406eccf9ac0f3fde0e1dfa87fc5aa48e0075c3be5,11884,38.77,double,DNA,False
MK448530,a2306c117b15dfd578040c87d20a4db1f2f57494909d2c55a0660d2f59e39556,12384,37.48,double,DNA,False
MK448495,0819fa588c66f5e9aa2aa73cfa3a636c7606412a8a274365db752d6c7c798526,11832,39.11,double,DNA,False
MK448471,5b1a6429d52ffe5da7b89ba214bad45513cf73d7b2ace8b80948c44917157218,14097,32.24,double,DNA,False
MK448459,3704be2da035d23e5f9f0bf172217e7c6ae2ce0cc85ffc0fd2115fa3de5fbefc,12015,35.47,double,DNA,False
MK448390,dcdb020f0d5e5553d88e75ce5116dc0d8a0e28ac8256015f019cda6bdaf94a0f,9627,35.68,double,DNA,False
NC_028268,065ef946cb030a86a8c2e1b66db9f70b58eb2f1544810d69497a5488193ee333,38049,56.51,double,DNA,True
OL617017,1c02a44cd34ca471c46f4417013944764c0e5d1f15e600e54bb7860b36b63ef8,6376,54.83,double,DNA,False
OL674249,517dc7c94a65cd7fc527632cfb00643b1d61e2cedaeeee64d3802e5ad4da72da,49674,50.16,double,DNA,False
OL762410,097a0776c04d4fe1f2c8dc0b3ce74e23c6f2f5440ccdc778e5fbfd122d46c97e,36470,48.54,double,DNA,False
OL774870,236d2f9594dd6fa3555228e2d9c7d6388ee37937c5380690409cf5c7e3e63df9,38516,38.54,double,DNA,False
MZ892993,2db60452ed9aec1dfedb3e07ea3532af4acf84c8af1763ee21291acd21e85104,53075,33.78,double,DNA,False
MZ361826,157e1539737016490030782cb8c0073d9ceddee4e25d4f85b0011665359bc272,40770,36.91,double,DNA,False
OM439665,e09a2ba39cf7a673cd2d3b10ccbeeea53be90d7662de802c97d05c0cd80a2c8d,45809,33.54,double,DNA,False
OL964756,92e7799f463773f1f0917fbb5df27f1bc5fdfa0eae7a36a0d696d717e03e3098,235066,38.43,double,DNA,False
MZ634340,e557af21191f9a4a9d7fcfb43532c0473e475d2f9126ebb705b3c35f44db1b92,44626,53.46,double,DNA,False
OL742560,5e2429b38c8f353a25aaf4ecc00e974eead7223b48f0ece1370d1945caa24a1e,49978,69.43,double,DNA,False
OL865411,5c7ac683834bd4e18035a0b7ba7c118a7541d2df6fbe3afa20cd8635c32c4c16,49473,50.48,double,DNA,False
