acc_no,hash,lifecycle,length,gc,train_test
NC_001423,cf33e9226239c7782b5141ec6fee57e483d265e33084f6c3fd3b6f8a482ef33c,Virulent,19366,39.66229474336466,0
AP004402,cd991b2cdaf267f2283080b6b0045f2252a49fb31797383c805b16c3f98c6d67,Temperate,61765,49.3888124342265,0
NC_004683,eb373b0cec2217e66427985712ed45bb61385bcc801dbf90445fda7868bffb7f,Temperate,57050,65.37773882559159,0
NC_041943,ec608ecc4e26c7d3fb30dc8f6c6337dac07f02b1207059606e7cdca524280f7d,Virulent,43707,61.07488502985792,0
NC_041942,38e5097f9588003dab5c1c1cecd09bc1a40cafbf4284af92056ef108341ef4cb,Virulent,44183,60.72471312495756,0
NC_005135,3631945c180b7cf4a7a3ceaeb4f251fd5ef8d13b73faa7b5d324ba06e439f977,Virulent,173591,43.88073114389571,0
NC_004112,4dd83c3fc74051d82f91d1eb639cceb9ec113d0878adddd58179730cb2888e75,Temperate,43411,44.889544124761,0
NC_055746,f2891d17d9c3e943b4117d691ce3b8a4eb49b1fddfaab12959fadada30c99409,Virulent,164983,41.07392882903087,0
NC_011421,9c82e7eb15fbb7c3234baa6137d446047c75a068caf7f613f43de7b4298b7b4c,Virulent,132562,39.96469576500053,0
MH371108,29aa7cce8d3f3521131a5451297b574d25c94afc389cd03595b296a2faf2f586,Virulent,62090,61.80383314543405,0
LN881735,5f9aa3e4ec2c00b74e7067630da1418acadfd4db15efb4271bec9b4478adcb7c,Virulent,136898,43.617145612061535,0
NC_018283,8b608e57aac4a63f3b94047792391ba7d7facc30407e9f9324c2743e5e51d966,Temperate,58065,61.314044605183845,0
NC_001335,4ac16625122e7a5e10e920ecadd54225be5fae5bf713990b05b392b72cb7fcbf,Temperate,52297,62.25787330057173,0
MH179470,1f0ccd0e3d8b4a1c65b096cb6c973bdf3ab33fe9c1840abf3fdc596247def9ef,Temperate,47828,55.80413147110479,0
NC_002703,f6bda5d0c9b5401e789b18c5b239950f435f84cda53056d488a22063e4769c54,Temperate,38347,36.22186872506324,0
